"property","LOD4ALL","Openlink","LOV"
"abstract",6214,15387722,26
"accessRights",0,0,0
"accrualMethod",0,0,0
"accrualPeriodicity",0,2,0
"accrualPolicy",0,0,0
"alternative",99995,1922520,34
"audience",0,0,0
"available",0,235702977,1
"bibliographicCitation",82,12286534,2
"conformsTo",28170,36044,65
"contributor",100000,70387258,476
"coverage",0,0,1
"created","syserr",36446459,347
"creator",10950,2100823,1346
"date","syserr",26327969,101
"dateAccepted",2,0,2
"dateCopyrighted",0,0,0
"dateSubmitted",1,1,1
"description","syserr",18766203,3361
"educationLevel",0,0,0
"extent","syserr",5307447,0
"format",99999,1205237,23
"hasFormat",79,1470380,67
"hasPart",68926,1612292,549
"hasVersion",21124,11493,142
"identifier","syserr",702264237,190
"instructionalMethod",0,0,0
"isFormatOf",100000,1213127,0
"isPartOf","syserr",29262398,21
"isReferencedBy",9965,111408,14
"isReplacedBy",26,198925,26
"isRequiredBy",0,14,0
"isVersionOf",21,32644968,22
"issued","syserr",11401549,3518
"language","syserr",41313462,2587
"license",37258,5711625,133
"mediator",0,1,2
"medium",1,3842735,0
"modified","syserr",302847330,2635
"provenance",0,758133,0
"publisher",36846,12469968,315
"references","syserr",443141,1
"relation",19866,0,1
"replaces",31,128915,31
"requires",2,822,2
"rights",205,1034047,70
"rightsHolder",10441,1030683,0
"source","syserr",247160540,614
"spatial",5104,14374827,0
"subject","syserr",44866302,682
"tableOfContents",1,88958,1
"temporal",0,2295662,0
"title","syserr",676944694,3167
"type",100000,12808034,55
"valid",0,0,0
