"property_value","Total (in Openlink)","IRI","Literal","Blank"
"abstract",15387722,15384539,3183,0
"accessRights",0,0,0,0
"accrualMethod",0,0,0,0
"accrualPeriodicity",2,2,0,0
"accrualPolicy",0,0,0,0
"alternative",1922520,0,1922520,0
"audience",0,0,0,0
"available",235702977,0,235702977,0
"bibliographicCitation",12286534,41452,12245082,0
"conformsTo",36044,22,36022,0
"contributor",70387258,70387184,29,45
"coverage",0,0,0,0
"created",36446459,0,36446459,0
"creator",2100823,2100218,597,8
"date",26327969,0,26327969,0
"dateAccepted",0,0,0,0
"dateCopyrighted",0,0,0,0
"dateSubmitted",1,0,1,0
"description",18766203,42,18766161,0
"educationLevel",0,0,0,0
"extent",5307447,0,5307447,0
"format",1205237,81,1205156,0
"hasFormat",1470380,7,267995,1202378
"hasPart",1612292,581608,1030684,0
"hasVersion",11493,346,11147,0
"identifier",702264237,0,702264237,0
"instructionalMethod",0,0,0,0
"isFormatOf",1213127,1202376,10751,0
"isPartOf",29262398,22863236,6399162,0
"isReferencedBy",111408,0,111408,0
"isReplacedBy",198925,191813,7112,0
"isRequiredBy",14,0,14,0
"isVersionOf",32644968,32547583,97385,0
"issued",11401549,0,11401549,0
"language",41313462,16404385,24909077,0
"license",5711625,5711622,3,0
"mediator",1,0,0,1
"medium",3842735,0,3842735,0
"modified",302847330,0,302847330,0
"provenance",758133,0,758133,0
"publisher",12469968,15353,12454615,0
"references",443141,4983,438158,0
"relation",0,0,0,0
"replaces",128915,128750,165,0
"requires",822,0,822,0
"rights",1034047,1030682,3365,0
"rightsHolder",1030683,1030683,0,0
"source",247160540,247160452,88,0
"spatial",14374827,0,14374827,0
"subject",44866302,44853181,13121,0
"tableOfContents",88958,0,88958,0
"temporal",2295662,0,2295662,0
"title",676944694,0,676944694,0
"type",12808034,12808034,0,0
"valid",0,0,0,0
